Name,raptorlake,broadwell
alexnet_inst,28.06,33.95
vgg11_bn_inst,30.3,35.83
vgg11_inst,30.38,35.83
vgg13_inst,31.91,36.8
vgg13_bn_inst,31.947,36.8
mobilenet_v3_small_inst,33.65,37.03
vgg16_inst,33.7,38.04
vgg16_bn_inst,35.1,38.31
efficientnet_b0_inst,35.39,38.39
efficientnet_b3_inst,NC,39.46
vgg19_inst,NC,39.62
mnasnet1_0_inst,NC,39.96
efficientnet_b5_inst,NC,41.16
efficientnet_b7_inst,NC,43.04
squeezenet1_1_inst,NC,49.48
efficientnet_v2_s_inst,NC,51.24
squeezenet1_0_inst,NC,55.26
densenet169_inst,NC,55.4
densenet121_inst,NC,55.63
densenet161_inst,NC,65.2